Ticker;Fund Name;Segment;% Allocation;Market Value;# Of Shares;30 Day;Strategy
SCHX;Schwab U.S. Large-Cap ETF;Equity: U.S. - Large Cap;0.01%;$5.97M;237.93K;3.17%;Vanilla
SCHK;Schwab 1000 Index ETF;Equity: U.S. - Large Cap;0.01%;$486.39K;19.39K;3.10%;Vanilla
GUSA;Goldman Sachs MarketBeta US 1000 Equity ETF;Equity: U.S. - Large Cap;0.01%;$225.73K;9.00K;2.87%;Vanilla
IWB;IShares Russell 1000 ETF;Equity: U.S. - Large Cap;0.01%;$4.99M;198.79K;3.10%;Vanilla
IYY;IShares Dow Jones U.S. ETF;Equity: U.S. - Total Market;0.01%;$261.26K;10.41K;3.05%;Vanilla
STXG;Strive 1000 Growth ETF;Equity: U.S. - Large Cap Growth;0.01%;$10.61K;423;4.58%;Growth
ITOT;IShares Core S&P Total U.S. Stock Market ETF;Equity: U.S. - Total Market;0.01%;$7.44M;296.45K;2.89%;Vanilla
VONE;Vanguard Russell 1000 ETF;Equity: U.S. - Large Cap;0.01%;$612.72K;26.48K;3.13%;Vanilla
SCHB;Schwab U.S. Broad Market ETF;Equity: U.S. - Total Market;0.01%;$3.75M;149.40K;2.97%;Vanilla
IWV;IShares Russell 3000 ETF;Equity: U.S. - Total Market;0.01%;$1.82M;72.35K;2.87%;Vanilla
STXV;Strive 1000 Value ETF;Equity: U.S. - Large Cap Value;0.01%;$5.72K;228;-0.52%;Value
VTHR;Vanguard Russell 3000 ETF;Equity: U.S. - Total Market;0.01%;$293.82K;12.70K;2.84%;Vanilla
VTI;Vanguard Total Stock Market ETF;Equity: U.S. - Total Market;0.01%;$46.45M;2.01M;2.87%;Vanilla
SPTM;SPDR Portfolio S&P 1500 Composite Stock Market ETF;Equity: U.S. - Total Market;0.01%;$1.01M;40.30K;3.11%;Vanilla
VT;Vanguard Total World Stock ETF;Equity: Global - Total Market;0.01%;$2.77M;119.55K;1.25%;Vanilla
AVLC;Avantis US Large Cap Equity ETF;Equity: U.S. - Large Cap;0.01%;$22.36K;891;2.15%;Active
SPGM;SPDR Portfolio MSCI Global Stock Market ETF;Equity: Global - Total Market;0.01%;$51.59K;2.06K;1.52%;Vanilla
KRUZ;Unusual Whales Subversive Republican Trading ETF;Equity: Global - Total Market;0.00%;$827.97;33;0.17%;Active
MMTM;SPDR S&P 1500 Momentum Tilt ETF;Equity: U.S. - Total Market;0.00%;$2.16K;86;4.21%;Momentum
AVUS;Avantis U.S. Equity ETF;Equity: U.S. - Total Market;0.00%;$29.51K;1.18K;1.41%;Active
